iteration,pid,path_length,path_width,start_time,end_time,success
1,1,300,70,1782641263.9596858,1782641264.665591,False
1,1,300,70,1782641266.6934211,1782641267.727756,True
1,1,200,50,1782641269.626729,1782641270.559541,True
1,1,100,90,1782641271.843623,1782641272.078005,True
1,1,200,70,1782641273.693322,1782641274.577749,True
1,1,300,50,1782641278.443234,1782641279.9430861,True
1,1,100,50,1782641282.276767,1782641282.614916,True
1,1,200,90,1782641284.443278,1782641284.8763552,True
1,1,300,90,1782641286.642896,1782641287.110097,True
1,1,100,70,1782641289.9597409,1782641290.4260852,True
2,1,100,70,1782641291.876693,1782641292.0932422,True
2,1,300,70,1782641293.626422,1782641294.210376,True
2,1,300,50,1782641295.710258,1782641296.4271638,False
2,1,300,50,1782641298.126459,1782641298.426363,False
2,1,300,50,1782641301.1095219,1782641302.110295,True
2,1,200,50,1782641303.9426649,1782641304.4428759,True
2,1,200,70,1782641306.142561,1782641306.426674,True
2,1,100,50,1782641307.942658,1782641308.1263092,True
2,1,100,90,1782641309.426256,1782641309.559602,True
2,1,300,90,1782641311.210339,1782641311.609375,True
2,1,200,90,1782641313.259715,1782641313.509256,True
