iteration,pid,path_length,path_width,start_time,end_time,success
1,1,200,70,1782641800.219729,1782641800.7868412,True
1,1,100,50,1782641802.1195679,1782641802.369984,True
1,1,200,50,1782641803.76933,1782641804.302633,True
1,1,300,50,1782641806.002954,1782641806.502796,True
1,1,100,70,1782641807.819541,1782641808.003329,True
1,1,300,90,1782641809.7870011,1782641810.119426,True
1,1,100,90,1782641811.4361658,1782641811.553489,True
1,1,300,70,1782641812.935969,1782641813.3186839,True
1,1,200,90,1782641814.652718,1782641814.835605,True
2,1,300,90,1782641816.269073,1782641816.602664,True
2,1,100,50,1782641818.002728,1782641818.2858639,True
2,1,200,50,1782641819.918904,1782641820.252631,True
2,1,200,70,1782641821.652404,1782641821.8524292,True
2,1,300,50,1782641823.4692779,1782641823.786745,False
2,1,300,50,1782641825.369636,1782641826.0021372,True
2,1,100,90,1782641827.352726,1782641827.55228,True
2,1,200,90,1782641829.0521631,1782641829.318665,True
2,1,100,70,1782641830.786356,1782641830.952312,True
2,1,300,70,1782641832.369173,1782641832.7857401,True
