iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,2,500,70,1782831412339,1782831412653,True,mouse,0
1,2,800,90,1782831413427,1782831414154,True,mouse,0
1,2,1000,90,1782831415136,1782831415734,True,mouse,0
1,2,500,35,1782831416713,1782831417145,False,mouse,0
1,2,500,35,1782831418076,1782831418795,True,mouse,0
1,2,800,35,1782831419957,1782831420986,True,mouse,0
1,2,800,70,1782831421713,1782831422760,True,mouse,0
1,2,500,90,1782831423515,1782831423861,True,mouse,0
1,2,1000,70,1782831424694,1782831425836,True,mouse,0
1,2,1000,35,1782831427049,1782831428852,True,mouse,0
2,2,500,70,1782831429705,1782831430012,True,mouse,0
2,2,800,35,1782831431053,1782831432653,True,mouse,0
2,2,500,35,1782831433615,1782831434339,True,mouse,0
2,2,800,90,1782831435157,1782831435926,True,mouse,0
2,2,800,70,1782831436749,1782831437446,True,mouse,0
2,2,500,90,1782831438206,1782831438433,True,mouse,0
2,2,1000,70,1782831439369,1782831439496,False,mouse,0
2,2,1000,70,1782831440598,1782831441161,True,mouse,0
2,2,1000,90,1782831442260,1782831443413,True,mouse,0
2,2,1000,35,1782831444320,1782831446298,True,mouse,0
3,2,800,35,1782831447560,1782831449099,True,mouse,0
3,2,500,35,1782831449916,1782831450671,True,mouse,0
3,2,1000,90,1782831451507,1782831452429,True,mouse,0
3,2,1000,70,1782831453338,1782831454122,True,mouse,0
3,2,500,90,1782831454932,1782831455098,True,mouse,0
3,2,800,70,1782831455960,1782831457040,True,mouse,0
3,2,800,90,1782831457883,1782831458339,True,mouse,0
3,2,500,70,1782831459200,1782831459736,True,mouse,0
3,2,1000,35,1782831460803,1782831462949,True,mouse,0
