iteration,pid,path_length,path_width,start_time,end_time,success
1,3,100,50,1782647339.15264,1782647339.206058,False
1,3,100,50,1782647340.835773,1782647341.036184,True
1,3,200,70,1782647342.502867,1782647342.553443,True
1,3,300,90,1782647343.969055,1782647344.085637,True
1,3,200,90,1782647345.5856261,1782647345.6363719,True
1,3,100,70,1782647347.035637,1782647347.086138,True
1,3,300,50,1782647348.3032582,1782647348.485842,True
1,3,200,50,1782647349.735925,1782647349.819264,True
1,3,100,90,1782647350.985493,1782647351.0205078,True
1,3,300,70,1782647352.235776,1782647352.385398,True
2,3,300,50,1782647353.668656,1782647353.785242,True
2,3,100,50,1782647355.035459,1782647355.101915,True
2,3,100,70,1782647356.3018382,1782647356.402011,True
2,3,300,70,1782647357.668832,1782647357.869592,True
2,3,200,70,1782647358.9527192,1782647359.051827,True
2,3,200,50,1782647360.1689868,1782647360.3026738,True
2,3,200,90,1782647361.452283,1782647361.5687969,True
2,3,100,90,1782647362.669472,1782647362.7190049,True
2,3,300,90,1782647363.968312,1782647364.1688802,True
