iteration,pid,path_length,path_width,start_time,end_time,success
1,3,300,70,1782647271.913697,1782647271.913701,True
1,3,100,50,1782647273.530122,1782647273.630246,True
1,3,300,90,1782647274.630064,1782647274.764678,True
1,3,200,50,1782647275.6970959,1782647276.080866,True
1,3,100,70,1782647277.013808,1782647277.081246,True
1,3,300,50,1782647278.0141,1782647278.481057,True
1,3,200,90,1782647279.864887,1782647279.980646,True
1,3,200,70,1782647281.4302049,1782647281.530446,True
1,3,100,90,1782647282.49715,1782647282.5471182,True
2,3,300,90,1782647283.346828,1782647283.4302049,True
2,3,100,90,1782647284.230289,1782647284.2799811,True
2,3,100,50,1782647285.030832,1782647285.1140501,True
2,3,300,70,1782647285.896721,1782647285.963524,True
2,3,200,50,1782647286.730031,1782647286.997922,True
2,3,200,70,1782647287.847056,1782647287.91412,True
2,3,300,50,1782647288.8641138,1782647288.996468,True
2,3,200,90,1782647289.8307579,1782647289.8973691,True
2,3,100,70,1782647290.647178,1782647290.680356,True
