iteration,pid,path_length,path_width,start_time,end_time,success
1,3,100,50,1782674356.334933,1782674356.3349388,True
1,3,300,70,1782674357.934743,1782674358.217299,True
1,3,300,50,1782674359.7008152,1782674360.183842,True
1,3,100,70,1782674361.26814,1782674361.301336,True
1,3,100,90,1782674362.4332008,1782674362.4998379,True
1,3,300,90,1782674363.666729,1782674363.849754,True
1,3,200,70,1782674365.100201,1782674365.3510342,True
1,3,200,90,1782674366.5508192,1782674366.617119,True
1,3,200,50,1782674368.0165389,1782674368.167028,True
2,3,300,50,1782674369.616132,1782674369.766565,True
2,3,100,90,1782674370.96677,1782674371.01652,True
2,3,100,50,1782674372.2165902,1782674372.284138,True
2,3,300,90,1782674373.533984,1782674373.700067,True
2,3,100,70,1782674374.867119,1782674374.884612,True
2,3,200,50,1782674376.23354,1782674376.317407,True
2,3,200,90,1782674377.48398,1782674377.516394,True
2,3,300,70,1782674378.73375,1782674378.866941,True
2,3,200,70,1782674380.121135,1782674380.28316,True
