iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,1,800,35,1782828713953,1782828717452,True,mouse,150
1,1,500,35,1782828720086,1782828723186,True,mouse,150
1,1,1000,90,1782828725970,1782828727586,True,mouse,150
1,1,800,70,1782828730286,1782828732670,True,mouse,150
1,1,500,70,1782828735152,1782828736419,True,mouse,150
1,1,1000,70,1782828738786,1782828741535,True,mouse,150
1,1,500,90,1782828743618,1782828744302,True,mouse,150
1,1,800,90,1782828746736,1782828748486,True,mouse,150
1,1,1000,35,1782828752069,1782828757685,True,mouse,150
2,1,1000,70,1782828760335,1782828762585,True,mouse,150
2,1,800,35,1782828765435,1782828770235,True,mouse,150
2,1,500,70,1782828772586,1782828773886,True,mouse,150
2,1,800,70,1782828776086,1782828778069,True,mouse,150
2,1,1000,35,1782828781868,1782828789418,True,mouse,150
2,1,500,35,1782828793668,1782828795755,False,mouse,150
2,1,500,35,1782828798569,1782828802235,True,mouse,150
2,1,500,90,1782828804318,1782828805169,True,mouse,150
2,1,800,90,1782828807218,1782828808569,True,mouse,150
2,1,1000,90,1782828810818,1782828812068,True,mouse,150
3,1,800,70,1782828814218,1782828815701,True,mouse,150
3,1,500,90,1782828817785,1782828818601,True,mouse,150
3,1,800,90,1782828821368,1782828822185,True,mouse,150
3,1,1000,70,1782828824535,1782828825601,False,mouse,150
3,1,1000,70,1782828828468,1782828830985,True,mouse,150
3,1,500,35,1782828835035,1782828837635,True,mouse,150
3,1,1000,90,1782828839451,1782828840585,True,mouse,150
3,1,500,70,1782828842752,1782828843501,True,mouse,150
3,1,1000,35,1782828846650,1782828854784,True,mouse,150
3,1,800,35,1782828857801,1782828860801,True,mouse,150
