iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,2,800,90,1782830967406,1782830969179,True,mouse,150
1,2,1000,90,1782830970980,1782830972705,True,mouse,150
1,2,800,70,1782830974321,1782830975740,True,mouse,150
1,2,500,70,1782830977202,1782830977874,True,mouse,150
1,2,800,35,1782830979238,1782830981749,True,mouse,150
1,2,500,35,1782830986018,1782830987644,True,mouse,150
1,2,1000,70,1782830988979,1782830990657,True,mouse,150
1,2,1000,35,1782830992290,1782830993031,False,mouse,150
1,2,1000,35,1782830994566,1782830997796,True,mouse,150
1,2,500,90,1782830999051,1782830999375,True,mouse,150
2,2,500,35,1782831000801,1782831001867,True,mouse,150
2,2,800,35,1782831003977,1782831006232,True,mouse,150
2,2,1000,90,1782831007681,1782831008824,True,mouse,150
2,2,500,90,1782831010096,1782831010409,True,mouse,150
2,2,800,70,1782831011681,1782831013177,True,mouse,150
2,2,1000,35,1782831015894,1782831019454,True,mouse,150
2,2,800,90,1782831020880,1782831021460,True,mouse,150
2,2,500,70,1782831022711,1782831023293,True,mouse,150
2,2,1000,70,1782831024874,1782831026913,True,mouse,150
3,2,800,70,1782831028466,1782831030161,True,mouse,150
3,2,1000,70,1782831031886,1782831033826,True,mouse,150
3,2,1000,35,1782831035399,1782831039384,True,mouse,150
3,2,500,90,1782831040857,1782831041317,True,mouse,150
3,2,800,35,1782831042710,1782831046132,True,mouse,150
3,2,1000,90,1782831047709,1782831049220,True,mouse,150
3,2,500,35,1782831050599,1782831051886,True,mouse,150
3,2,500,70,1782831053278,1782831053783,True,mouse,150
3,2,800,90,1782831055186,1782831055613,True,mouse,150
