iteration,pid,path_length,path_width,start_time,end_time,success
1,3,300,90,1782645737.406442,1782645738.0234969,True
1,3,200,70,1782645740.70669,1782645741.05643,True
1,3,300,70,1782645743.0894568,1782645743.5560992,True
1,3,100,90,1782645745.489724,1782645745.706409,True
1,3,300,50,1782645747.722961,1782645748.172844,True
1,3,100,70,1782645750.306079,1782645750.45632,True
1,3,200,90,1782645752.372664,1782645752.7225852,True
1,3,100,50,1782645754.372714,1782645754.589254,True
1,3,200,50,1782645756.4727821,1782645756.756274,True
2,3,200,50,1782645759.1558368,1782645759.37462,False
2,3,200,50,1782645761.9893289,1782645762.4059289,True
2,3,100,90,1782645764.606633,1782645764.738889,True
2,3,200,90,1782645766.7058291,1782645766.9726532,True
2,3,300,70,1782645772.839152,1782645773.455987,True
2,3,100,50,1782645775.9387379,1782645776.1392052,True
2,3,100,70,1782645778.139284,1782645778.339066,True
2,3,300,90,1782645780.572146,1782645781.072033,True
2,3,200,70,1782645783.438602,1782645783.789301,True
2,3,300,50,1782645785.922667,1782645786.322263,True
