iteration,pid,path_length,path_width,start_time,end_time,success
1,3,100,50,1782645662.625057,1782645662.625062,True
1,3,300,90,1782645664.040714,1782645664.17495,True
1,3,100,90,1782645665.0407948,1782645665.141012,True
1,3,300,50,1782645665.97397,1782645666.107353,True
1,3,200,90,1782645666.957046,1782645667.0570838,True
1,3,300,70,1782645667.8741288,1782645667.9910522,True
1,3,200,50,1782645668.7905788,1782645668.907765,True
1,3,200,70,1782645669.724187,1782645669.790524,True
1,3,100,70,1782645670.474334,1782645670.5076108,True
2,3,200,90,1782645671.141312,1782645671.224069,True
2,3,100,90,1782645671.857523,1782645671.8904462,True
2,3,200,50,1782645672.54046,1782645672.624565,True
2,3,200,70,1782645673.357667,1782645673.424174,True
2,3,300,50,1782645674.240319,1782645674.340837,True
2,3,300,90,1782645675.141321,1782645675.240028,True
2,3,300,70,1782645675.957948,1782645676.023818,True
2,3,100,70,1782645676.857101,1782645676.8903701,True
2,3,100,50,1782645677.623622,1782645677.6737652,True
