iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,3,1000,35,1782828594560,1782828594662,False,pose,0
1,3,1000,35,1782828601462,1782828602528,False,pose,0
1,3,1000,35,1782828619217,1782828619821,False,pose,0
1,3,1000,35,1782828623655,1782828629054,False,pose,0
1,3,1000,35,1782828644687,1782828650788,False,pose,0
1,3,1000,35,1782828653987,1782828654788,False,pose,0
1,3,1000,35,1782828657489,1782828665156,True,pose,0
1,3,500,35,1782828668422,1782828670858,True,pose,0
1,3,1000,70,1782828673256,1782828675890,True,pose,0
1,3,800,70,1782828678358,1782828679992,True,pose,0
1,3,1000,90,1782828682692,1782828684658,True,pose,0
1,3,800,35,1782828687925,1782828691904,True,pose,0
1,3,500,70,1782828695160,1782828695862,False,pose,0
1,3,500,70,1782828698692,1782828699961,True,pose,0
1,3,500,90,1782828702566,1782828703726,True,pose,0
1,3,800,90,1782828706593,1782828708757,True,pose,0
2,3,800,35,1782828711662,1782828718529,False,pose,0
2,3,800,35,1782828721562,1782828722529,False,pose,0
2,3,800,35,1782828728863,1782828733497,True,pose,0
2,3,1000,70,1782828737131,1782828740333,True,pose,0
2,3,1000,35,1782828746434,1782828752333,True,pose,0
2,3,500,70,1782828755200,1782828756300,True,pose,0
2,3,800,70,1782828758704,1782828760838,True,pose,0
2,3,800,90,1782828763973,1782828766006,True,pose,0
2,3,1000,90,1782828769138,1782828771638,True,pose,0
2,3,500,35,1782828775105,1782828777638,True,pose,0
2,3,500,90,1782828780239,1782828781338,True,pose,0
3,3,500,90,1782828783638,1782828784705,True,pose,0
3,3,1000,90,1782828788272,1782828791472,True,pose,0
3,3,1000,35,1782828795072,1782828801539,True,pose,0
3,3,500,70,1782828804005,1782828805404,True,pose,0
3,3,800,35,1782828808739,1782828814376,True,pose,0
3,3,800,90,1782828816840,1782828818340,True,pose,0
3,3,1000,70,1782828821141,1782828823708,True,pose,0
3,3,800,70,1782828826374,1782828827641,False,pose,0
3,3,800,70,1782828830713,1782828833544,False,pose,0
3,3,800,70,1782828836778,1782828840810,True,pose,0
3,3,500,35,1782828845778,1782828848012,False,pose,0
3,3,500,35,1782828851914,1782828854076,False,pose,0
3,3,500,35,1782828859312,1782828859914,False,pose,0
3,3,500,35,1782828861077,1782828862648,False,pose,0
3,3,500,35,1782828865616,1782828868048,False,pose,0
3,3,500,35,1782828871015,1782828873347,False,pose,0
3,3,500,35,1782828875981,1782828879916,True,pose,0
