iteration,pid,path_length,path_width,start_time,end_time,success,input_method,latency
1,2,1000,35,1782831312887,1782831314863,True,touchpad,0
1,2,800,90,1782831316031,1782831316497,True,touchpad,0
1,2,800,35,1782831317558,1782831318863,True,touchpad,0
1,2,500,90,1782831319663,1782831320020,True,touchpad,0
1,2,1000,70,1782831321014,1782831322196,True,touchpad,0
1,2,1000,90,1782831323208,1782831324189,True,touchpad,0
1,2,800,70,1782831325216,1782831325981,True,touchpad,0
1,2,500,35,1782831327046,1782831327814,True,touchpad,0
1,2,500,70,1782831328558,1782831328584,False,touchpad,0
1,2,500,70,1782831329125,1782831329498,True,touchpad,0
2,2,500,70,1782831330502,1782831330939,True,touchpad,0
2,2,1000,90,1782831332112,1782831332841,True,touchpad,0
2,2,800,35,1782831334015,1782831335346,True,touchpad,0
2,2,800,90,1782831336266,1782831336970,True,touchpad,0
2,2,500,35,1782831338096,1782831339015,True,touchpad,0
2,2,1000,70,1782831340046,1782831340437,False,touchpad,0
2,2,1000,70,1782831342087,1782831342954,True,touchpad,0
2,2,800,70,1782831343949,1782831344791,True,touchpad,0
2,2,500,90,1782831345729,1782831346134,True,touchpad,0
2,2,1000,35,1782831347130,1782831347624,False,touchpad,0
2,2,1000,35,1782831349243,1782831351024,True,touchpad,0
3,2,1000,70,1782831352133,1782831353123,True,touchpad,0
3,2,500,70,1782831354069,1782831354472,True,touchpad,0
3,2,800,90,1782831355388,1782831356036,True,touchpad,0
3,2,800,70,1782831357147,1782831358067,True,touchpad,0
3,2,500,90,1782831358904,1782831359264,True,touchpad,0
3,2,1000,35,1782831360519,1782831362263,True,touchpad,0
3,2,500,35,1782831363363,1782831364567,True,touchpad,0
3,2,1000,90,1782831365466,1782831366648,True,touchpad,0
3,2,800,35,1782831367675,1782831369296,True,touchpad,0
