iteration,pid,path_length,path_width,start_time,end_time,success
1,3,200,70,1782647416.1766882,1782647416.52691,True
1,3,300,70,1782647420.2430878,1782647420.726777,True
1,3,300,50,1782647423.276693,1782647423.760331,True
1,3,300,90,1782647425.959661,1782647426.376551,True
1,3,100,50,1782647428.576468,1782647428.726414,True
1,3,100,70,1782647430.993529,1782647431.126444,True
1,3,200,50,1782647433.3263009,1782647433.609716,True
1,3,100,90,1782647435.6765811,1782647435.8098109,True
1,3,200,90,1782647437.809671,1782647438.09308,True
2,3,100,50,1782647440.1928499,1782647440.326078,True
2,3,100,70,1782647442.226354,1782647442.360985,False
2,3,100,70,1782647444.443351,1782647444.559474,True
2,3,100,90,1782647446.5596008,1782647446.7592819,True
2,3,200,90,1782647448.8925362,1782647449.1759622,True
2,3,200,50,1782647451.242945,1782647451.592942,False
2,3,200,50,1782647454.5424068,1782647454.959836,True
2,3,300,50,1782647457.309194,1782647457.709027,True
2,3,300,90,1782647460.2921228,1782647460.709146,True
2,3,200,70,1782647462.94226,1782647463.359086,True
2,3,300,70,1782647465.3925471,1782647465.909156,True
