iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,3,10,50,450,1,1782825421964,pose,0
1,3,10,50,450,2,1782825425863,pose,0
1,3,10,50,450,3,1782825429632,pose,0
1,3,10,50,450,4,1782825432863,pose,0
1,3,10,50,450,5,1782825445132,pose,0
1,3,10,50,450,6,1782825448433,pose,0
1,3,10,50,450,7,1782825454834,pose,0
1,3,10,50,450,8,1782825457999,pose,0
1,3,10,50,450,9,1782825463834,pose,0
1,3,10,50,450,10,1782825466604,pose,0
1,3,10,100,450,1,1782825470374,pose,0
1,3,10,100,450,2,1782825472574,pose,0
1,3,10,100,450,3,1782825475005,pose,0
1,3,10,100,450,4,1782825476772,pose,0
1,3,10,100,450,5,1782825478938,pose,0
1,3,10,100,450,6,1782825480708,pose,0
1,3,10,100,450,7,1782825482571,pose,0
1,3,10,100,450,8,1782825484375,pose,0
1,3,10,100,450,9,1782825487205,pose,0
1,3,10,100,450,10,1782825489172,pose,0
1,3,10,50,250,1,1782825492106,pose,0
1,3,10,50,250,2,1782825495005,pose,0
1,3,10,50,250,3,1782825496939,pose,0
1,3,10,50,250,4,1782825499472,pose,0
1,3,10,50,250,5,1782825501039,pose,0
1,3,10,50,250,6,1782825502841,pose,0
1,3,10,50,250,7,1782825542644,pose,0
1,3,10,50,250,8,1782825579355,pose,0
1,3,10,50,250,9,1782825581487,pose,0
1,3,10,50,250,10,1782825591053,pose,0
1,3,10,100,350,1,1782825596288,pose,0
1,3,10,100,350,2,1782825603687,pose,0
1,3,10,100,350,3,1782825605458,pose,0
1,3,10,100,350,4,1782825609722,pose,0
1,3,10,100,350,5,1782825611721,pose,0
1,3,10,100,350,6,1782825613754,pose,0
1,3,10,100,350,7,1782825619324,pose,0
1,3,10,100,350,8,1782825620958,pose,0
1,3,10,100,350,9,1782825622293,pose,0
1,3,10,100,350,10,1782825624259,pose,0
1,3,10,50,350,1,1782825625925,pose,0
1,3,10,50,350,2,1782825636161,pose,0
1,3,10,50,350,3,1782825646258,pose,0
1,3,10,50,350,4,1782825654028,pose,0
1,3,10,50,350,5,1782825658382,pose,0
1,3,10,50,350,6,1782825660378,pose,0
1,3,10,50,350,7,1782825685815,pose,0
1,3,10,50,350,8,1782825694081,pose,0
1,3,10,50,350,9,1782825698381,pose,0
1,3,10,50,350,10,1782825701351,pose,0
1,3,10,150,250,1,1782825702989,pose,0
1,3,10,150,250,2,1782825704703,pose,0
1,3,10,150,250,3,1782825715623,pose,0
1,3,10,150,250,4,1782825716953,pose,0
1,3,10,150,250,5,1782825718553,pose,0
1,3,10,150,250,6,1782825719753,pose,0
1,3,10,150,250,7,1782825721187,pose,0
1,3,10,150,250,8,1782825722589,pose,0
1,3,10,150,250,9,1782825724287,pose,0
1,3,10,150,250,10,1782825725854,pose,0
1,3,10,150,450,1,1782825727004,pose,0
1,3,10,150,450,2,1782825733720,pose,0
1,3,10,150,450,3,1782825739854,pose,0
1,3,10,150,450,4,1782825741292,pose,0
1,3,10,150,450,5,1782825742792,pose,0
1,3,10,150,450,6,1782825745591,pose,0
1,3,10,150,450,7,1782825760761,pose,0
1,3,10,150,450,8,1782825783329,pose,0
1,3,10,150,450,9,1782825805329,pose,0
1,3,10,150,450,10,1782825807198,pose,0
1,3,10,150,350,1,1782825820214,pose,0
1,3,10,150,350,2,1782825831547,pose,0
1,3,10,150,350,3,1782825834739,pose,0
1,3,10,150,350,4,1782825846540,pose,0
1,3,10,150,350,5,1782825848476,pose,0
1,3,10,150,350,6,1782825849944,pose,0
1,3,10,150,350,7,1782825851578,pose,0
1,3,10,150,350,8,1782825853506,pose,0
1,3,10,150,350,9,1782825855006,pose,0
1,3,10,150,350,10,1782825857673,pose,0
1,3,10,100,250,1,1782825859172,pose,0
1,3,10,100,250,2,1782825860639,pose,0
1,3,10,100,250,3,1782825862207,pose,0
1,3,10,100,250,4,1782825864345,pose,0
1,3,10,100,250,5,1782825866274,pose,0
1,3,10,100,250,6,1782825870641,pose,0
1,3,10,100,250,7,1782825873205,pose,0
1,3,10,100,250,8,1782825885376,pose,0
1,3,10,100,250,9,1782825887608,pose,0
1,3,10,100,250,10,1782825894611,pose,0
2,3,10,100,450,1,1782825897078,pose,0
2,3,10,100,450,2,1782825899310,pose,0
2,3,10,100,450,3,1782825901214,pose,0
2,3,10,100,450,4,1782825917312,pose,0
2,3,10,100,450,5,1782825918979,pose,0
2,3,10,100,450,6,1782825922348,pose,0
2,3,10,100,450,7,1782825929749,pose,0
2,3,10,100,450,8,1782825931680,pose,0
2,3,10,100,450,9,1782825937447,pose,0
2,3,10,100,450,10,1782825940419,pose,0
2,3,10,150,450,1,1782825941881,pose,0
2,3,10,150,450,2,1782825943249,pose,0
2,3,10,150,450,3,1782825945351,pose,0
2,3,10,150,450,4,1782825946741,pose,0
2,3,10,150,450,5,1782825949028,pose,0
2,3,10,150,450,6,1782825959389,pose,0
2,3,10,150,450,7,1782825967096,pose,0
2,3,10,150,450,8,1782825987290,pose,0
2,3,10,150,450,9,1782826001192,pose,0
2,3,10,150,450,10,1782826003224,pose,0
2,3,10,50,450,1,1782826006992,pose,0
2,3,10,50,450,2,1782826009457,pose,0
2,3,10,50,450,3,1782826011825,pose,0
2,3,10,50,450,4,1782826014360,pose,0
2,3,10,50,450,5,1782826092357,pose,0
2,3,10,50,450,6,1782826106472,pose,0
2,3,10,50,450,7,1782826160110,pose,0
2,3,10,50,450,8,1782826167545,pose,0
2,3,10,50,450,9,1782826246055,pose,0
2,3,10,50,450,10,1782826248189,pose,0
2,3,10,100,250,1,1782826249790,pose,0
2,3,10,100,250,2,1782826251134,pose,0
2,3,10,100,250,3,1782826252868,pose,0
2,3,10,100,250,4,1782826256590,pose,0
2,3,10,100,250,5,1782826271925,pose,0
2,3,10,100,250,6,1782826301289,pose,0
2,3,10,100,250,7,1782826326130,pose,0
2,3,10,100,250,8,1782826328310,pose,0
2,3,10,100,250,9,1782826330456,pose,0
2,3,10,100,250,10,1782826332144,pose,0
2,3,10,150,250,1,1782826352853,pose,0
2,3,10,150,250,2,1782826366580,pose,0
2,3,10,150,250,3,1782826369779,pose,0
2,3,10,150,250,4,1782826371466,pose,0
2,3,10,150,250,5,1782826373912,pose,0
2,3,10,150,250,6,1782826375772,pose,0
2,3,10,150,250,7,1782826377512,pose,0
2,3,10,150,250,8,1782826379713,pose,0
2,3,10,150,250,9,1782826383179,pose,0
2,3,10,150,250,10,1782826385036,pose,0
2,3,10,50,350,1,1782826389480,pose,0
2,3,10,50,350,2,1782826391707,pose,0
2,3,10,50,350,3,1782826394107,pose,0
2,3,10,50,350,4,1782826396303,pose,0
2,3,10,50,350,5,1782826398708,pose,0
2,3,10,50,350,6,1782826400917,pose,0
2,3,10,50,350,7,1782826403577,pose,0
2,3,10,50,350,8,1782826408776,pose,0
2,3,10,50,350,9,1782826411408,pose,0
2,3,10,50,350,10,1782826426511,pose,0
2,3,10,150,350,1,1782826428647,pose,0
2,3,10,150,350,2,1782826431574,pose,0
2,3,10,150,350,3,1782826435976,pose,0
2,3,10,150,350,4,1782826438444,pose,0
2,3,10,150,350,5,1782826440782,pose,0
2,3,10,150,350,6,1782826443005,pose,0
2,3,10,150,350,7,1782826444645,pose,0
2,3,10,150,350,8,1782826446646,pose,0
2,3,10,150,350,9,1782826448391,pose,0
2,3,10,150,350,10,1782826449992,pose,0
2,3,10,100,350,1,1782826451529,pose,0
2,3,10,100,350,2,1782826453189,pose,0
2,3,10,100,350,3,1782826455323,pose,0
2,3,10,100,350,4,1782826457057,pose,0
2,3,10,100,350,5,1782826458851,pose,0
2,3,10,100,350,6,1782826462779,pose,0
2,3,10,100,350,7,1782826464910,pose,0
2,3,10,100,350,8,1782826466852,pose,0
2,3,10,100,350,9,1782826468457,pose,0
2,3,10,100,350,10,1782826472261,pose,0
2,3,10,50,250,1,1782826475457,pose,0
2,3,10,50,250,2,1782826477519,pose,0
2,3,10,50,250,3,1782826479590,pose,0
2,3,10,50,250,4,1782826481519,pose,0
2,3,10,50,250,5,1782826483652,pose,0
2,3,10,50,250,6,1782826486590,pose,0
2,3,10,50,250,7,1782826488459,pose,0
2,3,10,50,250,8,1782826490723,pose,0
2,3,10,50,250,9,1782826492726,pose,0
2,3,10,50,250,10,1782826495195,pose,0
3,3,10,50,350,1,1782826497667,pose,0
3,3,10,50,350,2,1782826502120,pose,0
3,3,10,50,350,3,1782826504862,pose,0
3,3,10,50,350,4,1782826508328,pose,0
3,3,10,50,350,5,1782826510928,pose,0
3,3,10,50,350,6,1782826513393,pose,0
3,3,10,50,350,7,1782826514991,pose,0
3,3,10,50,350,8,1782826517722,pose,0
3,3,10,50,350,9,1782826519262,pose,0
3,3,10,50,350,10,1782826522529,pose,0
3,3,10,100,250,1,1782826525656,pose,0
3,3,10,100,250,2,1782826527532,pose,0
3,3,10,100,250,3,1782826529400,pose,0
3,3,10,100,250,4,1782826531057,pose,0
3,3,10,100,250,5,1782826532124,pose,0
3,3,10,100,250,6,1782826533922,pose,0
3,3,10,100,250,7,1782826535595,pose,0
3,3,10,100,250,8,1782826536923,pose,0
3,3,10,100,250,9,1782826538393,pose,0
3,3,10,100,250,10,1782826540189,pose,0
3,3,10,150,450,1,1782826543657,pose,0
3,3,10,150,450,2,1782826545457,pose,0
3,3,10,150,450,3,1782826547325,pose,0
