iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,1,10,100,250,1,1782640739048
1,1,10,100,250,2,1782640739849
1,1,10,100,250,3,1782640741010
1,1,10,100,250,4,1782640741916
1,1,10,100,250,5,1782640742710
1,1,10,100,250,6,1782640743627
1,1,10,100,250,7,1782640744333
1,1,10,100,250,8,1782640745094
1,1,10,100,250,9,1782640745927
1,1,10,100,250,10,1782640746720
1,1,10,50,250,1,1782640747452
1,1,10,50,250,2,1782640748314
1,1,10,50,250,3,1782640749447
1,1,10,50,250,4,1782640750369
1,1,10,50,250,5,1782640751318
1,1,10,50,250,6,1782640752553
1,1,10,50,250,7,1782640753601
1,1,10,50,250,8,1782640754905
1,1,10,50,250,9,1782640755979
1,1,10,50,250,10,1782640757780
1,1,10,50,350,1,1782640758913
1,1,10,50,350,2,1782640760191
1,1,10,50,350,3,1782640761261
1,1,10,50,350,4,1782640762370
1,1,10,50,350,5,1782640763420
1,1,10,50,350,6,1782640764915
1,1,10,50,350,7,1782640766005
1,1,10,50,350,8,1782640767373
1,1,10,50,350,9,1782640769020
1,1,10,50,350,10,1782640770420
1,1,10,100,450,1,1782640771205
1,1,10,100,450,2,1782640772016
1,1,10,100,450,3,1782640772983
1,1,10,100,450,4,1782640773905
1,1,10,100,450,5,1782640774833
1,1,10,100,450,6,1782640775737
1,1,10,100,450,7,1782640776607
1,1,10,100,450,8,1782640777566
1,1,10,100,450,9,1782640778516
1,1,10,100,450,10,1782640779515
1,1,10,100,350,1,1782640780222
1,1,10,100,350,2,1782640781121
1,1,10,100,350,3,1782640782520
1,1,10,100,350,4,1782640783632
1,1,10,100,350,5,1782640784549
1,1,10,100,350,6,1782640785607
1,1,10,100,350,7,1782640787087
1,1,10,100,350,8,1782640788404
1,1,10,100,350,9,1782640789355
1,1,10,100,350,10,1782640790733
1,1,10,50,450,1,1782640791749
1,1,10,50,450,2,1782640794137
1,1,10,50,450,3,1782640796205
1,1,10,50,450,4,1782640797971
1,1,10,50,450,5,1782640799436
1,1,10,50,450,6,1782640800849
1,1,10,50,450,7,1782640803533
1,1,10,50,450,8,1782640804889
1,1,10,50,450,9,1782640806270
1,1,10,50,450,10,1782640807781
1,1,10,150,250,1,1782640808670
1,1,10,150,250,2,1782640809465
1,1,10,150,250,3,1782640810381
1,1,10,150,250,4,1782640811255
1,1,10,150,250,5,1782640812015
1,1,10,150,250,6,1782640812965
1,1,10,150,250,7,1782640813798
1,1,10,150,250,8,1782640815020
1,1,10,150,250,9,1782640815864
1,1,10,150,250,10,1782640816654
1,1,10,150,450,1,1782640817565
