iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,3,10,100,450,1,1782645291392
1,3,10,100,450,2,1782645293509
1,3,10,100,450,3,1782645295186
1,3,10,100,450,4,1782645296824
1,3,10,100,450,5,1782645298409
1,3,10,100,450,6,1782645299636
1,3,10,100,450,7,1782645300919
1,3,10,100,450,8,1782645302475
1,3,10,100,450,9,1782645304224
1,3,10,100,450,10,1782645305542
1,3,10,150,350,1,1782645306752
1,3,10,150,350,2,1782645307959
1,3,10,150,350,3,1782645308992
1,3,10,150,350,4,1782645310108
1,3,10,150,350,5,1782645311341
1,3,10,150,350,6,1782645312642
1,3,10,150,350,7,1782645313685
1,3,10,150,350,8,1782645315410
1,3,10,150,350,9,1782645316558
1,3,10,150,350,10,1782645317959
1,3,10,100,350,1,1782645319157
1,3,10,100,350,2,1782645320974
1,3,10,100,350,3,1782645322908
1,3,10,100,350,4,1782645325225
1,3,10,100,350,5,1782645326974
1,3,10,100,350,6,1782645328485
1,3,10,100,350,7,1782645329652
1,3,10,100,350,8,1782645331290
1,3,10,100,350,9,1782645332418
1,3,10,100,350,10,1782645333741
1,3,10,50,350,1,1782645334935
1,3,10,50,350,2,1782645336507
1,3,10,50,350,3,1782645338307
1,3,10,50,350,4,1782645339539
1,3,10,50,350,5,1782645341474
1,3,10,50,350,6,1782645343401
1,3,10,50,350,7,1782645345068
1,3,10,50,350,8,1782645346624
1,3,10,50,350,9,1782645347924
1,3,10,50,350,10,1782645349502
1,3,10,100,250,1,1782645350584
1,3,10,100,250,2,1782645351890
1,3,10,100,250,3,1782645353655
1,3,10,100,250,4,1782645355368
1,3,10,100,250,5,1782645356641
1,3,10,100,250,6,1782645357701
1,3,10,100,250,7,1782645358868
1,3,10,100,250,8,1782645359856
1,3,10,100,250,9,1782645361090
1,3,10,100,250,10,1782645362101
1,3,10,50,450,1,1782645363290
1,3,10,50,450,2,1782645364768
1,3,10,50,450,3,1782645366340
1,3,10,50,450,4,1782645367907
1,3,10,50,450,5,1782645369168
1,3,10,50,450,6,1782645370490
1,3,10,50,450,7,1782645372224
1,3,10,50,450,8,1782645373801
1,3,10,50,450,9,1782645375606
1,3,10,50,450,10,1782645376955
1,3,10,150,250,1,1782645378051
1,3,10,150,250,2,1782645379234
1,3,10,150,250,3,1782645380490
1,3,10,150,250,4,1782645381484
1,3,10,150,250,5,1782645382922
1,3,10,150,250,6,1782645383834
1,3,10,150,250,7,1782645384868
1,3,10,150,250,8,1782645385756
1,3,10,150,250,9,1782645386734
1,3,10,150,250,10,1782645387689
1,3,10,50,250,1,1782645389622
1,3,10,50,250,2,1782645391072
1,3,10,50,250,3,1782645392257
1,3,10,50,250,4,1782645393393
1,3,10,50,250,5,1782645394589
1,3,10,50,250,6,1782645395657
1,3,10,50,250,7,1782645397006
1,3,10,50,250,8,1782645398001
1,3,10,50,250,9,1782645399489
1,3,10,50,250,10,1782645400823
1,3,10,150,450,1,1782645401754
1,3,10,150,450,2,1782645402890
1,3,10,150,450,3,1782645403956
1,3,10,150,450,4,1782645405017
1,3,10,150,450,5,1782645406324
1,3,10,150,450,6,1782645407316
1,3,10,150,450,7,1782645408473
1,3,10,150,450,8,1782645409706
1,3,10,150,450,9,1782645410840
1,3,10,150,450,10,1782645412400
2,3,10,150,250,1,1782645413705
2,3,10,150,250,2,1782645414783
2,3,10,150,250,3,1782645415755
2,3,10,150,250,4,1782645416833
2,3,10,150,250,5,1782645417988
2,3,10,150,250,6,1782645418907
2,3,10,150,250,7,1782645419871
2,3,10,150,250,8,1782645420806
2,3,10,150,250,9,1782645421805
2,3,10,150,250,10,1782645422617
2,3,10,50,350,1,1782645424240
2,3,10,50,350,2,1782645425921
2,3,10,50,350,3,1782645428006
2,3,10,50,350,4,1782645429755
2,3,10,50,350,5,1782645431405
2,3,10,50,350,6,1782645432734
2,3,10,50,350,7,1782645433838
2,3,10,50,350,8,1782645435006
2,3,10,50,350,9,1782645436189
2,3,10,50,350,10,1782645437583
2,3,10,100,450,1,1782645438688
2,3,10,100,450,2,1782645440073
2,3,10,100,450,3,1782645441703
2,3,10,100,450,4,1782645442970
2,3,10,100,450,5,1782645444021
2,3,10,100,450,6,1782645445137
2,3,10,100,450,7,1782645446240
2,3,10,100,450,8,1782645447521
2,3,10,100,450,9,1782645448899
2,3,10,100,450,10,1782645450532
2,3,10,150,450,1,1782645451649
2,3,10,150,450,2,1782645452755
2,3,10,150,450,3,1782645454255
2,3,10,150,450,4,1782645455565
2,3,10,150,450,5,1782645456572
2,3,10,150,450,6,1782645457587
2,3,10,150,450,7,1782645458626
2,3,10,150,450,8,1782645460166
2,3,10,150,450,9,1782645461349
2,3,10,150,450,10,1782645462455
2,3,10,50,450,1,1782645464071
2,3,10,50,450,2,1782645465988
2,3,10,50,450,3,1782645467765
2,3,10,50,450,4,1782645469705
2,3,10,50,450,5,1782645471139
2,3,10,50,450,6,1782645472482
