iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,1,10,100,250,1,1782825812905,mouse,150
1,1,10,100,250,2,1782825814788,mouse,150
1,1,10,100,250,3,1782825815986,mouse,150
1,1,10,100,250,4,1782825817070,mouse,150
1,1,10,100,250,5,1782825818020,mouse,150
1,1,10,100,250,6,1782825819004,mouse,150
1,1,10,100,250,7,1782825820070,mouse,150
1,1,10,100,250,8,1782825821621,mouse,150
1,1,10,100,250,9,1782825822637,mouse,150
1,1,10,100,250,10,1782825823604,mouse,150
1,1,10,50,250,1,1782825824438,mouse,150
1,1,10,50,250,2,1782825825355,mouse,150
1,1,10,50,250,3,1782825826648,mouse,150
1,1,10,50,250,4,1782825827832,mouse,150
1,1,10,50,250,5,1782825828965,mouse,150
1,1,10,50,250,6,1782825830265,mouse,150
1,1,10,50,250,7,1782825831498,mouse,150
1,1,10,50,250,8,1782825833188,mouse,150
1,1,10,50,250,9,1782825834348,mouse,150
1,1,10,50,250,10,1782825835584,mouse,150
1,1,10,50,450,1,1782825837488,mouse,150
1,1,10,50,450,2,1782825839188,mouse,150
1,1,10,50,450,3,1782825840732,mouse,150
1,1,10,50,450,4,1782825842173,mouse,150
1,1,10,50,450,5,1782825843148,mouse,150
1,1,10,50,450,6,1782825844487,mouse,150
1,1,10,50,450,7,1782825845731,mouse,150
1,1,10,50,450,8,1782825847265,mouse,150
1,1,10,50,450,9,1782825848720,mouse,150
1,1,10,50,450,10,1782825850215,mouse,150
1,1,10,150,450,1,1782825851237,mouse,150
1,1,10,150,450,2,1782825852348,mouse,150
1,1,10,150,450,3,1782825853115,mouse,150
1,1,10,150,450,4,1782825853872,mouse,150
1,1,10,150,450,5,1782825854648,mouse,150
1,1,10,150,450,6,1782825855714,mouse,150
1,1,10,150,450,7,1782825856836,mouse,150
1,1,10,150,450,8,1782825857622,mouse,150
1,1,10,150,450,9,1782825858581,mouse,150
1,1,10,150,450,10,1782825859738,mouse,150
1,1,10,150,250,1,1782825860770,mouse,150
1,1,10,150,250,2,1782825861737,mouse,150
1,1,10,150,250,3,1782825862664,mouse,150
1,1,10,150,250,4,1782825863588,mouse,150
1,1,10,150,250,5,1782825864853,mouse,150
1,1,10,150,250,6,1782825865838,mouse,150
1,1,10,150,250,7,1782825866737,mouse,150
1,1,10,150,250,8,1782825867471,mouse,150
1,1,10,150,250,9,1782825868219,mouse,150
1,1,10,150,250,10,1782825868987,mouse,150
1,1,10,150,350,1,1782825870052,mouse,150
1,1,10,150,350,2,1782825870915,mouse,150
1,1,10,150,350,3,1782825871636,mouse,150
1,1,10,150,350,4,1782825872436,mouse,150
1,1,10,150,350,5,1782825873248,mouse,150
1,1,10,150,350,6,1782825874070,mouse,150
1,1,10,150,350,7,1782825874831,mouse,150
