iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,3,10,150,250,2,1782826994129,touchpad,0
1,3,10,150,250,3,1782826995208,touchpad,0
1,3,10,150,250,4,1782826996147,touchpad,0
1,3,10,150,250,5,1782826996874,touchpad,0
1,3,10,150,250,6,1782826997514,touchpad,0
1,3,10,150,250,7,1782826998164,touchpad,0
1,3,10,150,250,8,1782826998794,touchpad,0
1,3,10,150,250,9,1782826999442,touchpad,0
1,3,10,150,250,10,1782827000058,touchpad,0
1,3,10,50,350,1,1782827001341,touchpad,0
1,3,10,50,350,2,1782827002062,touchpad,0
1,3,10,50,350,3,1782827002874,touchpad,0
1,3,10,50,350,4,1782827003763,touchpad,0
1,3,10,50,350,5,1782827004658,touchpad,0
1,3,10,50,350,6,1782827005598,touchpad,0
1,3,10,50,350,7,1782827006698,touchpad,0
1,3,10,50,350,8,1782827007763,touchpad,0
1,3,10,50,350,9,1782827009229,touchpad,0
1,3,10,50,350,10,1782827010341,touchpad,0
2,3,10,150,350,1,1782827011298,touchpad,0
2,3,10,150,350,2,1782827011975,touchpad,0
2,3,10,150,350,3,1782827012764,touchpad,0
2,3,10,150,350,4,1782827013441,touchpad,0
2,3,10,150,350,5,1782827014364,touchpad,0
2,3,10,150,350,6,1782827014996,touchpad,0
2,3,10,150,350,7,1782827015659,touchpad,0
2,3,10,150,350,8,1782827016441,touchpad,0
2,3,10,150,350,9,1782827017059,touchpad,0
2,3,10,150,350,10,1782827017782,touchpad,0
2,3,10,100,250,1,1782827018493,touchpad,0
2,3,10,100,250,2,1782827019195,touchpad,0
2,3,10,100,250,3,1782827019974,touchpad,0
2,3,10,100,250,4,1782827020725,touchpad,0
2,3,10,100,250,5,1782827021808,touchpad,0
2,3,10,100,250,6,1782827022527,touchpad,0
2,3,10,100,250,7,1782827023193,touchpad,0
2,3,10,100,250,8,1782827023910,touchpad,0
2,3,10,100,250,9,1782827024563,touchpad,0
2,3,10,100,250,10,1782827025161,touchpad,0
2,3,10,100,450,1,1782827025998,touchpad,0
2,3,10,100,450,2,1782827026649,touchpad,0
2,3,10,100,450,3,1782827027458,touchpad,0
2,3,10,100,450,4,1782827028174,touchpad,0
2,3,10,100,450,5,1782827028841,touchpad,0
2,3,10,100,450,6,1782827029807,touchpad,0
2,3,10,100,450,7,1782827030716,touchpad,0
2,3,10,100,450,8,1782827031675,touchpad,0
2,3,10,100,450,9,1782827032592,touchpad,0
2,3,10,100,450,10,1782827033431,touchpad,0
2,3,10,100,350,1,1782827034157,touchpad,0
2,3,10,100,350,2,1782827034874,touchpad,0
2,3,10,100,350,3,1782827035630,touchpad,0
2,3,10,100,350,4,1782827036426,touchpad,0
2,3,10,100,350,5,1782827037177,touchpad,0
2,3,10,100,350,6,1782827038159,touchpad,0
2,3,10,100,350,7,1782827038881,touchpad,0
2,3,10,100,350,8,1782827039730,touchpad,0
