iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,3,10,150,250,1,1782644269641
1,3,10,150,250,2,1782644271457
1,3,10,150,250,3,1782644274557
1,3,10,150,250,4,1782644276219
1,3,10,150,250,5,1782644277591
1,3,10,150,250,6,1782644279307
1,3,10,150,250,7,1782644283373
1,3,10,150,250,8,1782644284824
1,3,10,150,250,9,1782644289573
1,3,10,150,250,10,1782644291157
1,3,10,150,350,1,1782644293157
1,3,10,150,350,2,1782644295160
1,3,10,150,350,3,1782644296741
1,3,10,150,350,4,1782644298940
1,3,10,150,350,5,1782644300623
1,3,10,150,350,6,1782644301940
1,3,10,150,350,7,1782644304074
1,3,10,150,350,8,1782644305723
1,3,10,150,350,9,1782644312202
1,3,10,150,350,10,1782644314672
1,3,10,50,250,1,1782644316257
1,3,10,50,250,2,1782644319706
1,3,10,50,250,3,1782644327457
1,3,10,50,250,4,1782644331526
1,3,10,50,250,5,1782644334473
1,3,10,50,250,6,1782644354488
1,3,10,50,250,7,1782644369154
1,3,10,50,250,8,1782644371155
1,3,10,50,250,9,1782644376774
1,3,10,50,250,10,1782644378873
1,3,10,50,450,1,1782644382974
1,3,10,50,450,2,1782644389988
1,3,10,50,450,3,1782644396287
1,3,10,50,450,4,1782644404138
1,3,10,50,450,5,1782644407238
1,3,10,50,450,6,1782644411270
1,3,10,50,450,7,1782644417337
1,3,10,50,450,8,1782644420704
1,3,10,50,450,9,1782644424157
1,3,10,50,450,10,1782644426049
1,3,10,100,350,1,1782644428255
1,3,10,100,350,2,1782644432454
1,3,10,100,350,3,1782644434589
1,3,10,100,350,4,1782644437653
1,3,10,100,350,5,1782644441098
1,3,10,100,350,6,1782644443569
1,3,10,100,350,7,1782644453804
1,3,10,100,350,8,1782644466369
1,3,10,100,350,9,1782644469669
1,3,10,100,350,10,1782644472153
1,3,10,50,350,1,1782644476637
1,3,10,50,350,2,1782644479664
1,3,10,50,350,3,1782644482902
1,3,10,50,350,4,1782644486486
1,3,10,50,350,5,1782644491168
1,3,10,50,350,6,1782644497151
1,3,10,50,350,7,1782644500913
1,3,10,50,350,8,1782644507034
1,3,10,50,350,9,1782644513167
1,3,10,50,350,10,1782644520401
1,3,10,150,450,1,1782644526868
1,3,10,150,450,2,1782644528735
1,3,10,150,450,3,1782644531769
1,3,10,150,450,4,1782644534180
1,3,10,150,450,5,1782644536786
1,3,10,150,450,6,1782644540929
1,3,10,150,450,7,1782644544535
1,3,10,150,450,8,1782644546818
1,3,10,150,450,9,1782644550051
1,3,10,150,450,10,1782644559035
1,3,10,100,450,1,1782644562279
1,3,10,100,450,2,1782644564068
1,3,10,100,450,3,1782644567850
1,3,10,100,450,4,1782644570062
1,3,10,100,450,5,1782644573334
1,3,10,100,450,6,1782644576362
1,3,10,100,450,7,1782644581734
1,3,10,100,450,8,1782644583801
1,3,10,100,450,9,1782644587550
1,3,10,100,450,10,1782644589166
1,3,10,100,250,1,1782644591233
1,3,10,100,250,2,1782644592266
1,3,10,100,250,3,1782644594883
1,3,10,100,250,4,1782644597983
1,3,10,100,250,5,1782644600267
1,3,10,100,250,6,1782644602537
1,3,10,100,250,7,1782644628911
1,3,10,100,250,8,1782644632010
1,3,10,100,250,9,1782644636066
1,3,10,100,250,10,1782644637244
2,3,10,50,450,1,1782644683560
2,3,10,50,450,2,1782644699780
2,3,10,50,450,3,1782644704113
2,3,10,50,450,4,1782644712997
2,3,10,50,450,5,1782644718758
2,3,10,50,450,6,1782644729979
2,3,10,50,450,7,1782644732532
2,3,10,50,450,8,1782644736247
2,3,10,50,450,9,1782644739446
2,3,10,50,450,10,1782644747512
2,3,10,100,250,1,1782644764591
2,3,10,100,250,2,1782644767129
2,3,10,100,250,3,1782644769063
2,3,10,100,250,4,1782644772441
2,3,10,100,250,5,1782644774679
2,3,10,100,250,6,1782644778607
2,3,10,100,250,7,1782644780979
2,3,10,100,250,8,1782644783874
2,3,10,100,250,9,1782644786179
2,3,10,100,250,10,1782644790624
2,3,10,100,350,1,1782644793445
2,3,10,100,350,2,1782644797029
2,3,10,100,350,3,1782644798613
2,3,10,100,350,4,1782644804328
2,3,10,100,350,5,1782644805845
2,3,10,100,350,6,1782644808661
2,3,10,100,350,7,1782644813490
2,3,10,100,350,8,1782644815828
2,3,10,100,350,9,1782644817895
2,3,10,100,350,10,1782644819477
2,3,10,50,250,1,1782644839727
2,3,10,50,250,2,1782644842139
2,3,10,50,250,3,1782644844756
2,3,10,50,250,4,1782644847710
2,3,10,50,250,5,1782644849710
2,3,10,50,250,6,1782644852610
2,3,10,50,250,7,1782644854605
2,3,10,50,250,8,1782644869822
2,3,10,50,250,9,1782644871677
2,3,10,50,250,10,1782644878580
2,3,10,150,250,1,1782644882876
2,3,10,150,250,2,1782644884880
2,3,10,150,250,3,1782644886460
2,3,10,150,250,4,1782644889825
2,3,10,150,250,5,1782644891146
2,3,10,150,250,6,1782644894509
2,3,10,150,250,7,1782644899676
2,3,10,150,250,8,1782644900996
2,3,10,150,250,9,1782644902126
2,3,10,150,250,10,1782644905776
2,3,10,150,450,1,1782644907638
2,3,10,150,450,2,1782644909909
2,3,10,150,450,3,1782644911625
2,3,10,150,450,4,1782644913462
2,3,10,150,450,5,1782644916142
2,3,10,150,450,6,1782644921059
2,3,10,150,450,7,1782644925125
2,3,10,150,450,8,1782644927126
2,3,10,150,450,9,1782644930676
2,3,10,150,450,10,1782644936044
2,3,10,100,450,1,1782644941525
2,3,10,100,450,2,1782644944275
2,3,10,100,450,3,1782644946543
2,3,10,100,450,4,1782644948345
2,3,10,100,450,5,1782644956874
2,3,10,100,450,6,1782644959703
2,3,10,100,450,7,1782644962770
2,3,10,100,450,8,1782644969108
2,3,10,100,450,9,1782644971857
2,3,10,100,450,10,1782644974474
2,3,10,150,350,1,1782644976157
2,3,10,150,350,2,1782644978157
2,3,10,150,350,3,1782644979952
2,3,10,150,350,4,1782644981602
2,3,10,150,350,5,1782644984325
2,3,10,150,350,6,1782644986075
2,3,10,150,350,7,1782644988107
2,3,10,150,350,8,1782644991792
2,3,10,150,350,9,1782644993725
2,3,10,150,350,10,1782644998136
2,3,10,50,350,1,1782644999652
2,3,10,50,350,2,1782645002673
2,3,10,50,350,3,1782645006673
2,3,10,50,350,4,1782645010085
2,3,10,50,350,5,1782645012669
2,3,10,50,350,6,1782645016319
2,3,10,50,350,7,1782645018523
2,3,10,50,350,8,1782645026023
2,3,10,50,350,9,1782645031123
2,3,10,50,350,10,1782645034709
