iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
2,2,10,100,350,6,1782829794753,mouse,150
2,2,10,100,350,7,1782829795712,mouse,150
2,2,10,100,350,8,1782829796432,mouse,150
2,2,10,100,350,9,1782829797123,mouse,150
2,2,10,100,350,10,1782829797941,mouse,150
2,2,10,150,250,1,1782829799212,mouse,150
2,2,10,150,250,2,1782829799926,mouse,150
2,2,10,150,250,3,1782829800557,mouse,150
2,2,10,150,250,4,1782829801292,mouse,150
2,2,10,150,250,5,1782829801974,mouse,150
2,2,10,150,250,6,1782829802727,mouse,150
2,2,10,150,250,7,1782829803439,mouse,150
2,2,10,150,250,8,1782829804179,mouse,150
2,2,10,150,250,9,1782829805271,mouse,150
2,2,10,150,250,10,1782829806045,mouse,150
2,2,10,150,350,1,1782829807323,mouse,150
2,2,10,150,350,2,1782829808071,mouse,150
2,2,10,150,350,3,1782829808781,mouse,150
2,2,10,150,350,4,1782829809811,mouse,150
2,2,10,150,350,5,1782829810581,mouse,150
2,2,10,150,350,6,1782829811296,mouse,150
2,2,10,150,350,7,1782829812084,mouse,150
2,2,10,150,350,8,1782829812863,mouse,150
2,2,10,150,350,9,1782829813628,mouse,150
2,2,10,150,350,10,1782829814372,mouse,150
2,2,10,50,250,1,1782829815798,mouse,150
2,2,10,50,250,2,1782829816694,mouse,150
2,2,10,50,250,3,1782829817586,mouse,150
2,2,10,50,250,4,1782829818586,mouse,150
2,2,10,50,250,5,1782829819552,mouse,150
2,2,10,50,250,6,1782829820791,mouse,150
2,2,10,50,250,7,1782829821808,mouse,150
2,2,10,50,250,8,1782829822827,mouse,150
2,2,10,50,250,9,1782829823835,mouse,150
2,2,10,50,250,10,1782829824859,mouse,150
2,2,10,150,450,1,1782829825891,mouse,150
2,2,10,150,450,2,1782829826660,mouse,150
2,2,10,150,450,3,1782829827426,mouse,150
2,2,10,150,450,4,1782829828406,mouse,150
2,2,10,150,450,5,1782829829308,mouse,150
2,2,10,150,450,6,1782829830057,mouse,150
2,2,10,150,450,7,1782829830790,mouse,150
2,2,10,150,450,8,1782829831512,mouse,150
2,2,10,150,450,9,1782829832366,mouse,150
2,2,10,150,450,10,1782829833076,mouse,150
2,2,10,100,250,1,1782829833852,mouse,150
2,2,10,100,250,2,1782829834658,mouse,150
2,2,10,100,250,3,1782829835476,mouse,150
2,2,10,100,250,4,1782829836348,mouse,150
2,2,10,100,250,5,1782829837098,mouse,150
2,2,10,100,250,6,1782829837985,mouse,150
2,2,10,100,250,7,1782829838673,mouse,150
2,2,10,100,250,8,1782829839410,mouse,150
2,2,10,100,250,9,1782829840111,mouse,150
2,2,10,100,250,10,1782829840972,mouse,150
2,2,10,100,450,1,1782829842041,mouse,150
2,2,10,100,450,2,1782829842882,mouse,150
2,2,10,100,450,3,1782829843635,mouse,150
2,2,10,100,450,4,1782829844642,mouse,150
2,2,10,100,450,5,1782829845498,mouse,150
2,2,10,100,450,6,1782829846525,mouse,150
2,2,10,100,450,7,1782829847295,mouse,150
2,2,10,100,450,8,1782829848222,mouse,150
2,2,10,100,450,9,1782829849178,mouse,150
2,2,10,100,450,10,1782829850241,mouse,150
3,2,10,50,350,1,1782829851686,mouse,150
3,2,10,50,350,2,1782829852657,mouse,150
3,2,10,50,350,3,1782829853473,mouse,150
3,2,10,50,350,4,1782829854713,mouse,150
3,2,10,50,350,5,1782829855741,mouse,150
3,2,10,50,350,6,1782829856900,mouse,150
3,2,10,50,350,7,1782829857825,mouse,150
3,2,10,50,350,8,1782829858882,mouse,150
3,2,10,50,350,9,1782829860018,mouse,150
3,2,10,50,350,10,1782829861088,mouse,150
3,2,10,100,350,1,1782829862168,mouse,150
