iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
1,1,10,150,450,1,1782827566952,touchpad,0
1,1,10,150,450,2,1782827567610,touchpad,0
1,1,10,150,450,3,1782827568072,touchpad,0
1,1,10,150,450,4,1782827568572,touchpad,0
1,1,10,150,450,5,1782827569138,touchpad,0
1,1,10,150,450,6,1782827569571,touchpad,0
1,1,10,150,450,7,1782827570104,touchpad,0
1,1,10,150,450,8,1782827570610,touchpad,0
1,1,10,150,450,9,1782827571072,touchpad,0
1,1,10,150,450,10,1782827571788,touchpad,0
1,1,10,100,250,1,1782827572438,touchpad,0
1,1,10,100,250,2,1782827573077,touchpad,0
1,1,10,100,250,3,1782827573555,touchpad,0
1,1,10,100,250,4,1782827574022,touchpad,0
1,1,10,100,250,5,1782827574538,touchpad,0
1,1,10,100,250,6,1782827575043,touchpad,0
1,1,10,100,250,7,1782827575476,touchpad,0
1,1,10,100,250,8,1782827575988,touchpad,0
1,1,10,100,250,9,1782827576388,touchpad,0
1,1,10,100,250,10,1782827576938,touchpad,0
1,1,10,100,350,1,1782827577509,touchpad,0
1,1,10,100,350,2,1782827578088,touchpad,0
1,1,10,100,350,3,1782827578638,touchpad,0
1,1,10,100,350,4,1782827579222,touchpad,0
1,1,10,100,350,5,1782827579910,touchpad,0
1,1,10,100,350,6,1782827580655,touchpad,0
1,1,10,100,350,7,1782827581305,touchpad,0
1,1,10,100,350,8,1782827582077,touchpad,0
1,1,10,100,350,9,1782827582621,touchpad,0
1,1,10,100,350,10,1782827583138,touchpad,0
1,1,10,100,450,1,1782827583760,touchpad,0
1,1,10,100,450,2,1782827584405,touchpad,0
1,1,10,100,450,3,1782827585055,touchpad,0
1,1,10,100,450,4,1782827585709,touchpad,0
1,1,10,100,450,5,1782827586475,touchpad,0
1,1,10,100,450,6,1782827586988,touchpad,0
1,1,10,100,450,7,1782827587660,touchpad,0
1,1,10,100,450,8,1782827588238,touchpad,0
1,1,10,100,450,9,1782827588926,touchpad,0
1,1,10,100,450,10,1782827589726,touchpad,0
1,1,10,50,350,1,1782827590288,touchpad,0
1,1,10,50,350,2,1782827590926,touchpad,0
1,1,10,50,350,3,1782827591559,touchpad,0
1,1,10,50,350,4,1782827592176,touchpad,0
1,1,10,50,350,5,1782827592838,touchpad,0
1,1,10,50,350,6,1782827593527,touchpad,0
1,1,10,50,350,7,1782827594188,touchpad,0
1,1,10,50,350,8,1782827594775,touchpad,0
1,1,10,50,350,9,1782827595376,touchpad,0
1,1,10,50,350,10,1782827596177,touchpad,0
1,1,10,150,350,1,1782827596671,touchpad,0
1,1,10,150,350,2,1782827597188,touchpad,0
1,1,10,150,350,3,1782827597721,touchpad,0
1,1,10,150,350,4,1782827598342,touchpad,0
1,1,10,150,350,5,1782827598838,touchpad,0
1,1,10,150,350,6,1782827599338,touchpad,0
1,1,10,150,350,7,1782827600238,touchpad,0
1,1,10,150,350,8,1782827600821,touchpad,0
1,1,10,150,350,9,1782827601410,touchpad,0
1,1,10,150,350,10,1782827601854,touchpad,0
1,1,10,50,450,1,1782827602510,touchpad,0
1,1,10,50,450,2,1782827603209,touchpad,0
1,1,10,50,450,3,1782827604288,touchpad,0
1,1,10,50,450,4,1782827604976,touchpad,0
1,1,10,50,450,5,1782827605726,touchpad,0
1,1,10,50,450,6,1782827606338,touchpad,0
1,1,10,50,450,7,1782827607042,touchpad,0
1,1,10,50,450,8,1782827607771,touchpad,0
1,1,10,50,450,9,1782827608626,touchpad,0
1,1,10,50,450,10,1782827609459,touchpad,0
1,1,10,50,250,1,1782827610092,touchpad,0
1,1,10,50,250,2,1782827610809,touchpad,0
1,1,10,50,250,3,1782827611825,touchpad,0
1,1,10,50,250,4,1782827612608,touchpad,0
1,1,10,50,250,5,1782827613242,touchpad,0
1,1,10,50,250,6,1782827614876,touchpad,0
1,1,10,50,250,7,1782827615677,touchpad,0
1,1,10,50,250,8,1782827616388,touchpad,0
1,1,10,50,250,9,1782827617392,touchpad,0
1,1,10,50,250,10,1782827617943,touchpad,0
1,1,10,150,250,1,1782827618421,touchpad,0
1,1,10,150,250,2,1782827618904,touchpad,0
1,1,10,150,250,3,1782827619671,touchpad,0
1,1,10,150,250,4,1782827620193,touchpad,0
1,1,10,150,250,5,1782827620621,touchpad,0
1,1,10,150,250,6,1782827621054,touchpad,0
1,1,10,150,250,7,1782827621504,touchpad,0
1,1,10,150,250,8,1782827621942,touchpad,0
1,1,10,150,250,9,1782827622542,touchpad,0
1,1,10,150,250,10,1782827623021,touchpad,0
2,1,10,50,450,1,1782827623788,touchpad,0
2,1,10,50,450,2,1782827624471,touchpad,0
2,1,10,50,450,3,1782827625276,touchpad,0
2,1,10,50,450,4,1782827626121,touchpad,0
2,1,10,50,450,5,1782827627059,touchpad,0
2,1,10,50,450,6,1782827627892,touchpad,0
2,1,10,50,450,7,1782827628626,touchpad,0
2,1,10,50,450,8,1782827629225,touchpad,0
2,1,10,50,450,9,1782827630042,touchpad,0
2,1,10,50,450,10,1782827630738,touchpad,0
2,1,10,50,350,1,1782827631359,touchpad,0
2,1,10,50,350,2,1782827632154,touchpad,0
2,1,10,50,350,3,1782827632771,touchpad,0
2,1,10,50,350,4,1782827634120,touchpad,0
2,1,10,50,350,5,1782827635092,touchpad,0
2,1,10,50,350,6,1782827635842,touchpad,0
