iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,1,10,100,350,1,1782561188706
1,1,10,100,350,2,1782561189628
1,1,10,100,350,3,1782561190410
1,1,10,100,350,4,1782561191093
1,1,10,100,350,5,1782561191744
1,1,10,100,350,6,1782561192428
1,1,10,100,350,7,1782561193067
1,1,10,100,350,8,1782561193734
1,1,10,100,350,9,1782561194418
1,1,10,100,350,10,1782561194967
1,1,10,50,250,1,1782561195650
1,1,10,50,250,2,1782561196378
1,1,10,50,250,3,1782561197100
1,1,10,50,250,4,1782561197812
1,1,10,50,250,5,1782561198534
1,1,10,50,250,6,1782561199184
1,1,10,50,250,7,1782561199900
1,1,10,50,250,8,1782561201012
1,1,10,50,250,9,1782561201867
1,1,10,50,250,10,1782561202801
1,1,10,150,450,1,1782561203545
1,1,10,150,450,2,1782561204500
1,1,10,150,450,3,1782561205416
1,1,10,150,450,4,1782561206534
1,1,10,150,450,5,1782561207395
1,1,10,150,450,6,1782561208316
1,1,10,150,450,7,1782561209000
1,1,10,150,450,8,1782561209767
1,1,10,150,450,9,1782561210462
1,1,10,150,450,10,1782561211095
1,1,10,50,350,1,1782561211945
1,1,10,50,350,2,1782561212801
1,1,10,50,350,3,1782561213895
1,1,10,50,350,4,1782561214701
1,1,10,50,350,5,1782561215634
1,1,10,50,350,6,1782561216750
1,1,10,50,350,7,1782561217845
1,1,10,50,350,8,1782561219228
1,1,10,50,350,9,1782561220078
1,1,10,50,350,10,1782561221362
1,1,10,50,450,1,1782561222348
1,1,10,50,450,2,1782561223451
1,1,10,50,450,3,1782561224895
1,1,10,50,450,4,1782561226578
1,1,10,50,450,5,1782561227632
1,1,10,50,450,6,1782561228882
1,1,10,50,450,7,1782561229750
1,1,10,50,450,8,1782561230612
1,1,10,50,450,9,1782561231717
1,1,10,50,450,10,1782561233100
1,1,10,100,250,1,1782561233700
1,1,10,100,250,2,1782561234334
1,1,10,100,250,3,1782561235166
1,1,10,100,250,4,1782561235895
1,1,10,100,250,5,1782561236421
1,1,10,100,250,6,1782561237129
1,1,10,100,250,7,1782561237733
1,1,10,100,250,8,1782561238495
1,1,10,100,250,9,1782561239100
1,1,10,100,250,10,1782561239978
1,1,10,150,350,1,1782561240749
1,1,10,150,350,2,1782561241283
1,1,10,150,350,3,1782561242216
1,1,10,150,350,4,1782561242783
1,1,10,150,350,5,1782561243367
1,1,10,150,350,6,1782561244083
1,1,10,150,350,7,1782561244733
1,1,10,150,350,8,1782561245466
1,1,10,150,350,9,1782561246067
1,1,10,150,350,10,1782561246695
1,1,10,150,250,1,1782561247533
1,1,10,150,250,2,1782561248345
1,1,10,150,250,3,1782561249179
1,1,10,150,250,4,1782561249933
1,1,10,150,250,5,1782561250650
1,1,10,150,250,6,1782561251183
1,1,10,150,250,7,1782561251933
1,1,10,150,250,8,1782561252500
1,1,10,150,250,9,1782561253467
1,1,10,150,250,10,1782561254067
1,1,10,100,450,1,1782561255500
1,1,10,100,450,2,1782561256595
1,1,10,100,450,3,1782561257378
1,1,10,100,450,4,1782561258412
1,1,10,100,450,5,1782561259433
1,1,10,100,450,6,1782561260362
1,1,10,100,450,7,1782561261434
1,1,10,100,450,8,1782561262411
1,1,10,100,450,9,1782561263162
1,1,10,100,450,10,1782561264012
2,1,10,50,250,1,1782561265045
2,1,10,50,250,2,1782561266034
2,1,10,50,250,3,1782561266895
2,1,10,50,250,4,1782561267967
2,1,10,50,250,5,1782561268815
2,1,10,50,250,6,1782561269811
2,1,10,50,250,7,1782561270567
2,1,10,50,250,8,1782561271550
2,1,10,50,250,9,1782561272632
2,1,10,50,250,10,1782561273428
2,1,10,150,350,1,1782561274000
2,1,10,150,350,2,1782561274578
2,1,10,150,350,3,1782561275150
2,1,10,150,350,4,1782561275700
2,1,10,150,350,5,1782561276183
2,1,10,150,350,6,1782561276783
2,1,10,150,350,7,1782561277328
2,1,10,150,350,8,1782561277934
2,1,10,150,350,9,1782561278400
2,1,10,150,350,10,1782561279017
2,1,10,150,450,1,1782561279583
2,1,10,150,450,2,1782561280133
2,1,10,150,450,3,1782561280695
2,1,10,150,450,4,1782561281261
2,1,10,150,450,5,1782561281983
2,1,10,150,450,6,1782561282550
2,1,10,150,450,7,1782561283167
2,1,10,150,450,8,1782561283950
2,1,10,150,450,9,1782561284545
2,1,10,150,450,10,1782561285250
2,1,10,100,450,1,1782561285845
2,1,10,100,450,2,1782561286528
2,1,10,100,450,3,1782561287078
2,1,10,100,450,4,1782561287845
2,1,10,100,450,5,1782561288516
2,1,10,100,450,6,1782561289251
2,1,10,100,450,7,1782561289911
2,1,10,100,450,8,1782561290767
2,1,10,100,450,9,1782561291845
2,1,10,100,450,10,1782561292912
2,1,10,100,350,1,1782561293745
2,1,10,100,350,2,1782561294449
2,1,10,100,350,3,1782561295050
2,1,10,100,350,4,1782561295795
2,1,10,100,350,5,1782561296328
2,1,10,100,350,6,1782561296850
2,1,10,100,350,7,1782561297578
