iteration,pid,path_length,path_width,start_time,end_time,success
1,3,100,70,1782645582.5532858,1782645583.103598,True
1,3,300,90,1782645585.319735,1782645586.219867,True
1,3,100,50,1782645588.4707441,1782645588.837378,True
1,3,100,90,1782645590.354383,1782645590.653854,True
1,3,300,50,1782645592.220324,1782645592.5536928,True
1,3,300,70,1782645594.0539541,1782645594.453396,True
1,3,200,50,1782645595.903341,1782645596.18645,True
1,3,200,70,1782645597.63631,1782645597.786743,True
1,3,200,90,1782645599.120337,1782645599.352758,True
2,3,300,70,1782645600.7864032,1782645601.1700668,True
2,3,100,50,1782645602.4366772,1782645602.736202,True
2,3,200,90,1782645604.053963,1782645604.170392,True
2,3,300,50,1782645605.8032231,1782645606.1363509,True
2,3,100,90,1782645607.3530738,1782645607.386213,True
2,3,100,70,1782645608.65238,1782645608.7362251,True
2,3,200,50,1782645610.003278,1782645610.153586,True
2,3,300,90,1782645611.486659,1782645611.8196979,True
2,3,200,70,1782645613.170381,1782645613.3032472,True
