iteration,pid,path_length,path_width,start_time,end_time,success
1,3,200,90,1782645628.591242,1782645629.2249632,True
1,3,200,70,1782645630.29125,1782645630.641363,True
1,3,100,90,1782645631.441637,1782645631.541832,True
1,3,300,50,1782645632.3416908,1782645632.7912261,True
1,3,100,70,1782645633.574672,1782645633.6079638,True
1,3,300,90,1782645634.4745548,1782645634.5579169,True
1,3,100,50,1782645635.424564,1782645635.541249,True
1,3,300,70,1782645636.474473,1782645636.841148,True
1,3,200,50,1782645637.674541,1782645637.758316,True
2,3,200,50,1782645638.74114,1782645639.1078022,True
2,3,100,70,1782645639.958314,1782645640.058413,True
2,3,200,70,1782645640.975019,1782645641.124437,True
2,3,100,90,1782645642.041363,1782645642.107544,True
2,3,200,90,1782645643.159374,1782645643.224263,True
2,3,300,70,1782645644.091677,1782645644.207818,True
2,3,100,50,1782645645.124907,1782645645.191414,True
2,3,300,90,1782645646.0410619,1782645646.2076428,True
2,3,300,50,1782645647.07438,1782645647.1575308,True
