iteration,pid,path_length,path_width,start_time,end_time,success
1,1,100,70,1782564426.351737,1782564426.5177548,True
1,1,300,70,1782564428.168898,1782564428.902195,True
1,1,200,90,1782564429.9854999,1782564430.134942,True
1,1,100,90,1782564431.185842,1782564431.318157,True
1,1,200,70,1782564432.451634,1782564432.684371,True
1,1,100,50,1782564433.736557,1782564433.8521018,True
1,1,300,90,1782564435.334462,1782564435.518324,True
1,1,200,50,1782564436.5681238,1782564436.785462,True
1,1,300,50,1782564438.001867,1782564438.3850281,True
2,1,200,70,1782564439.752191,1782564439.9179718,True
2,1,300,70,1782564441.451651,1782564441.768189,True
2,1,100,70,1782564442.8059368,1782564442.884236,True
2,1,300,50,1782564444.2018912,1782564444.7022898,True
2,1,100,90,1782564445.718983,1782564445.768904,True
2,1,100,50,1782564446.8193889,1782564447.001955,True
2,1,200,90,1782564448.151814,1782564448.235285,True
2,1,300,90,1782564449.2512808,1782564449.3676631,True
2,1,200,50,1782564450.517704,1782564450.717779,True
