iteration,pid,path_length,path_width,start_time,end_time,success
1,3,200,90,1782674278.2721229,1782674279.372135,True
1,3,300,90,1782674285.78899,1782674286.255987,True
1,3,100,90,1782674288.60541,1782674288.805364,True
1,3,200,50,1782674291.0889559,1782674291.638766,True
1,3,300,50,1782674293.972283,1782674294.672224,True
1,3,200,70,1782674296.738514,1782674297.071706,True
1,3,100,70,1782674298.721893,1782674299.00509,True
1,3,300,70,1782674300.822071,1782674301.238474,True
1,3,100,50,1782674303.1723142,1782674303.304986,True
2,3,200,90,1782674305.0721622,1782674305.405013,True
2,3,200,70,1782674306.9886878,1782674307.338609,True
2,3,300,70,1782674309.1216881,1782674309.538225,True
2,3,300,90,1782674311.405198,1782674311.821507,True
2,3,200,50,1782674313.538442,1782674313.888627,True
2,3,100,50,1782674315.7380311,1782674315.9550562,True
2,3,300,50,1782674317.805158,1782674318.025475,False
2,3,300,50,1782674320.621721,1782674320.838009,False
2,3,300,50,1782674324.00462,1782674324.687968,True
2,3,100,70,1782674327.037973,1782674327.171215,True
2,3,100,90,1782674329.337976,1782674329.554893,True
