iteration,pid,path_length,path_width,start_time,end_time,success
1,1,100,50,1782564486.711126,1782564487.094743,True
1,1,300,90,1782564489.310136,1782564490.52638,True
1,1,100,90,1782564492.828038,1782564492.9941928,True
1,1,300,50,1782564496.177959,1782564497.8278341,True
1,1,200,70,1782564499.9949608,1782564501.044553,True
1,1,300,70,1782564503.7606862,1782564504.727936,True
1,1,100,70,1782564506.943085,1782564507.229109,False
1,1,100,70,1782564509.244282,1782564509.8102982,True
1,1,200,50,1782564512.427391,1782564513.6936908,True
1,1,200,90,1782564515.859349,1782564516.87583,True
2,1,200,50,1782564519.8145301,1782564520.027423,False
2,1,200,50,1782564522.976404,1782564524.475735,True
2,1,200,70,1782564526.843102,1782564527.493976,True
2,1,100,70,1782564529.609545,1782564529.7761369,True
2,1,100,50,1782564531.6256452,1782564532.075937,True
2,1,300,50,1782564535.358742,1782564536.8427038,True
2,1,100,90,1782564538.492214,1782564538.675731,True
2,1,300,90,1782564541.1103518,1782564542.509671,True
2,1,300,70,1782564545.260576,1782564547.377142,True
2,1,200,90,1782564549.3920069,1782564550.009302,True
