iteration,pid,path_length,path_width,start_time,end_time,success
1,3,200,90,1782647308.609031,1782647308.726093,True
1,3,200,70,1782647309.778908,1782647309.82774,True
1,3,200,50,1782647310.611833,1782647310.661576,True
1,3,300,70,1782647311.827873,1782647311.911405,True
1,3,100,70,1782647312.527603,1782647312.577673,True
1,3,100,90,1782647313.246819,1782647313.2799182,True
1,3,300,50,1782647313.9967308,1782647314.0801501,True
1,3,100,50,1782647314.730387,1782647314.747029,True
1,3,300,90,1782647315.447089,1782647315.547133,True
2,3,300,70,1782647317.113794,1782647317.313486,True
2,3,200,50,1782647318.030428,1782647318.1140008,True
2,3,300,50,1782647318.8641868,1782647318.947339,True
2,3,100,70,1782647319.7966778,1782647319.813478,True
2,3,100,90,1782647320.446652,1782647320.480052,True
2,3,100,50,1782647321.246818,1782647321.2796988,True
2,3,200,70,1782647322.4471,1782647322.51329,True
2,3,300,90,1782647323.3136299,1782647323.3801332,True
2,3,200,90,1782647324.497398,1782647324.597801,True
