iteration,pid,path_length,path_width,start_time,end_time,success
1,3,300,50,1782674398.863542,1782674399.6547132,False
1,3,300,50,1782674400.1290371,1782674400.8463721,True
1,3,200,50,1782674401.979423,1782674402.0798159,True
1,3,200,90,1782674402.812937,1782674402.880646,True
1,3,100,70,1782674403.429733,1782674403.4632268,True
1,3,300,70,1782674403.9797719,1782674404.079608,True
1,3,100,90,1782674404.662836,1782674404.680195,True
1,3,100,50,1782674405.879296,1782674405.913576,False
1,3,100,50,1782674406.496747,1782674406.612447,True
1,3,200,70,1782674407.2795122,1782674407.346964,True
1,3,300,90,1782674408.2629912,1782674408.3628428,True
2,3,100,70,1782674409.213411,1782674409.263613,True
2,3,100,90,1782674409.862887,1782674409.8962119,True
2,3,100,50,1782674410.445823,1782674410.4958239,True
2,3,300,70,1782674411.646249,1782674411.7633479,True
2,3,300,50,1782674412.6634612,1782674412.8125691,True
2,3,200,90,1782674413.5626519,1782674413.629299,True
2,3,300,90,1782674414.39594,1782674414.513259,True
2,3,200,70,1782674415.179222,1782674415.412535,True
2,3,200,50,1782674416.0172439,1782674416.062918,True
