iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,3,10,150,250,1,1782645075156
1,3,10,150,250,2,1782645076122
1,3,10,150,250,3,1782645077039
1,3,10,150,250,4,1782645078022
1,3,10,150,250,5,1782645078956
1,3,10,150,250,6,1782645079922
1,3,10,150,250,7,1782645080856
1,3,10,150,250,8,1782645081772
1,3,10,150,250,9,1782645082822
1,3,10,150,250,10,1782645083655
1,3,10,150,350,1,1782645084489
1,3,10,150,350,2,1782645085489
1,3,10,150,350,3,1782645086339
1,3,10,150,350,4,1782645087239
1,3,10,150,350,5,1782645088139
1,3,10,150,350,6,1782645089105
1,3,10,150,350,7,1782645090122
1,3,10,150,350,8,1782645091006
1,3,10,150,350,9,1782645092039
1,3,10,150,350,10,1782645092989
1,3,10,50,350,1,1782645094089
1,3,10,50,350,2,1782645098905
1,3,10,50,350,3,1782645100022
1,3,10,50,350,4,1782645101172
1,3,10,50,350,5,1782645102171
1,3,10,50,350,6,1782645103522
1,3,10,50,350,7,1782645104872
1,3,10,50,350,8,1782645105788
1,3,10,50,350,9,1782645107389
1,3,10,50,350,10,1782645108405
1,3,10,100,350,1,1782645109205
1,3,10,100,350,2,1782645110122
1,3,10,100,350,3,1782645110972
1,3,10,100,350,4,1782645111838
1,3,10,100,350,5,1782645112655
1,3,10,100,350,6,1782645113638
1,3,10,100,350,7,1782645114671
1,3,10,100,350,8,1782645115588
1,3,10,100,350,9,1782645116555
1,3,10,100,350,10,1782645117455
1,3,10,50,250,1,1782645118338
1,3,10,50,250,2,1782645119422
1,3,10,50,250,3,1782645120322
1,3,10,50,250,4,1782645121244
1,3,10,50,250,5,1782645122555
1,3,10,50,250,6,1782645123810
1,3,10,50,250,7,1782645125505
1,3,10,50,250,8,1782645126538
1,3,10,50,250,9,1782645127522
1,3,10,50,250,10,1782645128455
1,3,10,100,450,1,1782645129971
1,3,10,100,450,2,1782645131055
1,3,10,100,450,3,1782645132104
1,3,10,100,450,4,1782645133038
1,3,10,100,450,5,1782645133971
1,3,10,100,450,6,1782645134904
1,3,10,100,450,7,1782645136454
1,3,10,100,450,8,1782645137354
1,3,10,100,450,9,1782645138288
1,3,10,100,450,10,1782645139204
1,3,10,50,450,1,1782645140255
1,3,10,50,450,2,1782645141388
1,3,10,50,450,3,1782645142738
1,3,10,50,450,4,1782645143709
1,3,10,50,450,5,1782645144754
1,3,10,50,450,6,1782645146237
1,3,10,50,450,7,1782645148154
1,3,10,50,450,8,1782645149293
1,3,10,50,450,9,1782645150371
1,3,10,50,450,10,1782645151521
1,3,10,100,250,1,1782645152855
1,3,10,100,250,2,1782645153742
1,3,10,100,250,3,1782645154904
1,3,10,100,250,4,1782645155820
1,3,10,100,250,5,1782645156637
1,3,10,100,250,6,1782645157421
1,3,10,100,250,7,1782645158771
1,3,10,100,250,8,1782645159771
1,3,10,100,250,9,1782645160704
1,3,10,100,250,10,1782645161537
1,3,10,150,450,1,1782645162604
1,3,10,150,450,2,1782645163487
1,3,10,150,450,3,1782645164337
1,3,10,150,450,4,1782645165087
1,3,10,150,450,5,1782645165904
1,3,10,150,450,6,1782645166703
1,3,10,150,450,7,1782645168121
1,3,10,150,450,8,1782645169070
1,3,10,150,450,9,1782645170037
1,3,10,150,450,10,1782645170953
2,3,10,50,250,1,1782645171920
2,3,10,50,250,2,1782645172953
2,3,10,50,250,3,1782645173820
2,3,10,50,250,4,1782645174703
2,3,10,50,250,5,1782645175820
2,3,10,50,250,6,1782645176741
2,3,10,50,250,7,1782645177904
2,3,10,50,250,8,1782645178927
2,3,10,50,250,9,1782645179887
2,3,10,50,250,10,1782645180920
2,3,10,150,450,1,1782645181653
2,3,10,150,450,2,1782645182470
2,3,10,150,450,3,1782645183320
2,3,10,150,450,4,1782645184154
2,3,10,150,450,5,1782645185020
2,3,10,150,450,6,1782645186786
2,3,10,150,450,7,1782645187820
2,3,10,150,450,8,1782645188670
2,3,10,150,450,9,1782645189703
2,3,10,150,450,10,1782645190636
2,3,10,100,350,1,1782645191370
2,3,10,100,350,2,1782645192653
2,3,10,100,350,3,1782645193653
2,3,10,100,350,4,1782645194653
2,3,10,100,350,5,1782645195487
2,3,10,100,350,6,1782645197153
2,3,10,100,350,7,1782645198337
2,3,10,100,350,8,1782645199703
2,3,10,100,350,9,1782645200586
2,3,10,100,350,10,1782645201519
2,3,10,150,250,1,1782645202269
2,3,10,150,250,2,1782645203420
2,3,10,150,250,3,1782645204603
2,3,10,150,250,4,1782645205436
2,3,10,150,250,5,1782645206319
2,3,10,150,250,6,1782645207219
2,3,10,150,250,7,1782645208103
2,3,10,150,250,8,1782645208953
2,3,10,150,250,9,1782645209936
2,3,10,150,250,10,1782645210753
2,3,10,150,350,1,1782645211469
