iteration,pid,path_length,path_width,start_time,end_time,success
1,1,300,90,1782564193.0876942,1782564194.040707,True
1,1,200,50,1782564195.252615,1782564196.086525,True
1,1,100,50,1782564197.103143,1782564197.485327,True
1,1,200,70,1782564199.319415,1782564199.819427,True
1,1,200,90,1782564201.235688,1782564201.452053,True
1,1,300,70,1782564202.919749,1782564203.684845,True
1,1,100,90,1782564204.684706,1782564204.95193,True
1,1,100,70,1782564206.152483,1782564206.336173,True
1,1,300,50,1782564208.385344,1782564209.635385,True
2,1,300,90,1782564210.9364202,1782564211.418862,True
2,1,200,50,1782564212.635736,1782564213.319073,True
2,1,300,50,1782564215.518496,1782564217.085763,True
2,1,200,90,1782564218.30229,1782564218.70226,True
2,1,100,50,1782564219.884753,1782564220.2846,True
2,1,200,70,1782564221.451233,1782564222.185737,True
2,1,300,70,1782564223.568487,1782564224.518525,True
2,1,100,70,1782564225.70173,1782564226.002184,True
2,1,100,90,1782564227.252633,1782564227.417753,True
