iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,1,10,150,350,1,1782638684179
1,1,10,150,350,2,1782638685201
1,1,10,150,350,3,1782638686421
1,1,10,150,350,4,1782638687464
1,1,10,150,350,5,1782638688463
1,1,10,150,350,6,1782638689702
1,1,10,150,350,7,1782638690752
1,1,10,150,350,8,1782638692496
1,1,10,150,350,9,1782638693437
1,1,10,150,350,10,1782638694937
1,1,10,100,450,1,1782638696187
1,1,10,100,450,2,1782638697213
1,1,10,100,450,3,1782638698235
1,1,10,100,450,4,1782638699636
1,1,10,100,450,5,1782638700554
1,1,10,100,450,6,1782638701635
1,1,10,100,450,7,1782638702485
1,1,10,100,450,8,1782638703552
1,1,10,100,450,9,1782638704935
1,1,10,100,450,10,1782638706581
1,1,10,150,450,1,1782638707880
1,1,10,150,450,2,1782638708862
1,1,10,150,450,3,1782638709902
1,1,10,150,450,4,1782638710835
1,1,10,150,450,5,1782638711969
1,1,10,150,450,6,1782638712852
1,1,10,150,450,7,1782638713985
1,1,10,150,450,8,1782638714987
1,1,10,150,450,9,1782638715896
1,1,10,150,450,10,1782638717168
1,1,10,50,450,1,1782638718713
1,1,10,50,450,2,1782638719786
1,1,10,50,450,3,1782638721518
1,1,10,50,450,4,1782638723104
1,1,10,50,450,5,1782638724136
1,1,10,50,450,6,1782638725652
1,1,10,50,450,7,1782638726818
1,1,10,50,450,8,1782638729479
1,1,10,50,450,9,1782638730885
1,1,10,50,450,10,1782638732435
1,1,10,50,250,1,1782638734567
1,1,10,50,250,2,1782638735551
1,1,10,50,250,3,1782638737335
1,1,10,50,250,4,1782638738551
1,1,10,50,250,5,1782638739618
1,1,10,50,250,6,1782638740746
1,1,10,50,250,7,1782638741901
1,1,10,50,250,8,1782638743150
1,1,10,50,250,9,1782638744933
1,1,10,50,250,10,1782638745984
1,1,10,50,350,1,1782638747384
1,1,10,50,350,2,1782638749016
1,1,10,50,350,3,1782638749968
1,1,10,50,350,4,1782638751019
1,1,10,50,350,5,1782638752550
1,1,10,50,350,6,1782638753866
1,1,10,50,350,7,1782638755402
1,1,10,50,350,8,1782638757417
1,1,10,50,350,9,1782638758862
1,1,10,50,350,10,1782638760134
1,1,10,100,350,1,1782638761878
1,1,10,100,350,2,1782638763512
1,1,10,100,350,3,1782638764817
1,1,10,100,350,4,1782638766098
1,1,10,100,350,5,1782638767601
1,1,10,100,350,6,1782638769000
1,1,10,100,350,7,1782638769983
1,1,10,100,350,8,1782638771418
1,1,10,100,350,9,1782638772728
1,1,10,100,350,10,1782638773994
1,1,10,150,250,1,1782638775119
1,1,10,150,250,2,1782638776117
1,1,10,150,250,3,1782638777133
1,1,10,150,250,4,1782638778301
1,1,10,150,250,5,1782638779384
1,1,10,150,250,6,1782638780683
1,1,10,150,250,7,1782638781600
1,1,10,150,250,8,1782638783216
1,1,10,150,250,9,1782638784027
1,1,10,150,250,10,1782638785433
1,1,10,100,250,1,1782638786783
1,1,10,100,250,2,1782638787911
1,1,10,100,250,3,1782638788950
1,1,10,100,250,4,1782638789927
1,1,10,100,250,5,1782638790845
1,1,10,100,250,6,1782638791882
1,1,10,100,250,7,1782638792928
1,1,10,100,250,8,1782638794228
1,1,10,100,250,9,1782638795433
1,1,10,100,250,10,1782638796834
2,1,10,50,450,1,1782638798795
2,1,10,50,450,2,1782638800083
2,1,10,50,450,3,1782638801816
2,1,10,50,450,4,1782638802950
2,1,10,50,450,5,1782638804700
2,1,10,50,450,6,1782638806416
2,1,10,50,450,7,1782638808184
2,1,10,50,450,8,1782638809650
2,1,10,50,450,9,1782638811716
2,1,10,50,450,10,1782638813617
2,1,10,150,250,1,1782638815449
2,1,10,150,250,2,1782638816534
2,1,10,150,250,3,1782638817610
2,1,10,150,250,4,1782638818800
